paper_id,author,year,journal,clean_name,sample country,paper_plant_status,global_plant_status,Figure 2,Figure 3,Figure 4,Figure 5,title
239,Stepkowski et al,2011,Systematic and Applied Microbiology,Ornithopus compressus,Italy,Native,Non-Native,X,,,,Bradyrhizobium canariense and Bradyrhizobium japonicum are the two dominant rhizobium species in root nodules of lupin and serradella plants growing in Europe
239,Stepkowski et al,2011,Systematic and Applied Microbiology,Ornithopus sativus,Poland,Non-Native,Non-Native,X,,,,Bradyrhizobium canariense and Bradyrhizobium japonicum are the two dominant rhizobium species in root nodules of lupin and serradella plants growing in Europe
281,Xu et al,2011,Antonie van Leeuwenhoek,Sphaerophysa salsula,China,Native,Non-Native,X,,,,"Rhizobium sphaerophysae sp.nov., a novel species isolated from root nodules of Sphaerophysa salsula in China"
22,Andrus et al,2012,FEMS Microbiology Ecology,Mimosa diplotricha,Philippines,Non-Native,Non-Native,X,,,,American origin of Cupriavidus bacteria associated with invasive Mimosa legumes in the Philippines
22,Andrus et al,2012,FEMS Microbiology Ecology,Mimosa pudica,Philippines,Non-Native,Non-Native,X,,X,,American origin of Cupriavidus bacteria associated with invasive Mimosa legumes in the Philippines
26,Aserse et al,2012,Molecular Phylogenetics and Evolution,Crotalaria incana,Ethiopia,Native,Non-Native,X,,,,"Phylogenetically diverse groups of Bradyrhizobium isolated from nodules of Crotalaria spp., Indigofera spp., Erythrina brucei and Glycine max growing in Ethiopia"
26,Aserse et al,2012,Molecular Phylogenetics and Evolution,Erythrina brucei,Ethiopia,Native,Native,X,,,,"Phylogenetically diverse groups of Bradyrhizobium isolated from nodules of Crotalaria spp., Indigofera spp., Erythrina brucei and Glycine max growing in Ethiopia"
26,Aserse et al,2012,Molecular Phylogenetics and Evolution,Indigofera arrecta,Ethiopia,Native,Non-Native,X,,,,"Phylogenetically diverse groups of Bradyrhizobium isolated from nodules of Crotalaria spp., Indigofera spp., Erythrina brucei and Glycine max growing in Ethiopia"
46,Boukhatem et al,2012,FEMS Microbiology Ecology,Acacia ehrenbergiana,Algeria,Native,Native,X,,,,Symbiotic characterization and diversity of rhizobia associated with native and introduced acacias in arid and semi-arid regions in Algeria
46,Boukhatem et al,2012,FEMS Microbiology Ecology,Acacia karroo,Algeria,Non-Native,Non-Native,X,,,X,Symbiotic characterization and diversity of rhizobia associated with native and introduced acacias in arid and semi-arid regions in Algeria
46,Boukhatem et al,2012,FEMS Microbiology Ecology,Acacia saligna,Algeria,Non-Native,Non-Native,X,,X,X,Symbiotic characterization and diversity of rhizobia associated with native and introduced acacias in arid and semi-arid regions in Algeria
46,Boukhatem et al,2012,FEMS Microbiology Ecology,Acacia seyal,Algeria,Native,Non-Native,X,,,X,Symbiotic characterization and diversity of rhizobia associated with native and introduced acacias in arid and semi-arid regions in Algeria
72,da Silva et al,2012,Systematic and Applied Microbiology,Sesbania virgata,Brazil,Native,Non-Native,X,,,,Cupriavidus necator isolates are able to fix nitrogen in symbiosis with different legume species
74,Dai et al,2012,Genetics and Molecular Research,Caragana microphylla,China,Native,Non-Native,X,,,,"Genetic diversity and phylogeny of rhizobia isolated from Caragana microphylla growing in desert soil in Ningxia, China"
80,De Meyer et al,2012,Systematic and Applied Microbiology,Robinia pseudoacacia,Belgium,Non-Native,Non-Native,X,,,,"Tardiphaga robiniae gen. nov., sp. Nov., a new genus in the family Bradyrhizobiaceae isolated from Robinia pseudoacacia in Flanders (Belgium)"
98,Fonseca et al,2012,PLoS ONE,Dimorphandra wilsonii,Brazil,Native,Native,X,,,,"Nodulation in Dimorphandra wilsonii Rizz. (Caesalphinioideae), a threatened species native to the Brazilian Cerrado"
101,Fterich et al,2012,Canadian Journal of Microbiology,Acacia tortilis,Tunisia,Native,Non-Native,X,,,,Taxonomic and symbiotic diversity of bacteria isolated from nodules of Acacia tortilis subsp. Raddiana in arid soils of Tunisia
105,Gerding et al,2012,Plant and Soil,Lessertia annularis,South Africa,Native,Native,X,,,,Diverse Mesorhizobium spp. With unique nodA nodulating the South African legume species of the genus Lessertia
