paper_id,author,year,clean_name,plant_status,sample_country
289,Weir et al,2004,Carmichaelia australis,native,New_Zealand
289,Weir et al,2004,Clianthus puniceus,native,New_Zealand
289,Weir et al,2004,Cytisus scoparius,introduced,New_Zealand
289,Weir et al,2004,Sophora microphylla,native,New_Zealand
289,Weir et al,2004,Ulex europaeus,introduced,New_Zealand
290,Yates et al,2004,Lotus cruentus,native,Australia
290,Yates et al,2004,Swainsona leeana,native,Australia
300,Zakhia et al,2004,Anthyllis henoniana,native,Tunisia
300,Zakhia et al,2004,Argyrolobium uniflorum,native,Tunisia
300,Zakhia et al,2004,Lotus creticus,native,Tunisia
300,Zakhia et al,2004,Medicago marina,native,Tunisia
294,Zribi et al,2004,Medicago truncatula,native,Tunisia
299,Zurdo-Pineiro,2004,Piptadenia flava,native,Puerto_Rico
299,Zurdo-Pineiro,2004,Sesbania sesban,introduced,Puerto_Rico
35,Barrett and Parker,2005,Abarema macradenia,native,Panama
35,Barrett and Parker,2005,Mimosa casta,native,Panama
35,Barrett and Parker,2005,Mimosa pigra,native,Panama
35,Barrett and Parker,2005,Mimosa pudica,native,Panama
63,Chen et al,2005,Mimosa pigra,introduced,Taiwan
49,Chen et al,2005,Mimosa pudica,native,Brazil-Venezuela
121,Hung et al,2005,Alysicarpus vaginalis,native,Taiwan
121,Hung et al,2005,Christia obcordata,native,Taiwan
121,Hung et al,2005,Indigofera hirsuta,native,Taiwan
121,Hung et al,2005,Ohwia caudata,native,Taiwan
158,Liu et al,2005,Amorpha fruticosa,introduced,China
158,Liu et al,2005,Cercis racemosa,native,China
158,Liu et al,2005,Wisteria sinensis,native,China
207,Rasolomampiania et al,2005,Dalbergia baronii,native,Madagascar
207,Rasolomampiania et al,2005,Dalbergia chapelieri,native,Madagascar
207,Rasolomampiania et al,2005,Dalbergia louvelii,native,Madagascar
207,Rasolomampiania et al,2005,Dalbergia madagascariensis,native,Madagascar
207,Rasolomampiania et al,2005,Dalbergia monticola,native,Madagascar
207,Rasolomampiania et al,2005,Dalbergia purpurascens,native,Madagascar
221,Romdhane et al,2005,Acacia tortilis,native,Tunisia
228,Sarr et al,2005,Acacia senegal,native,Mauritania
228,Sarr et al,2005,Acacia senegal,native,Senegal
274,Wdowiak-Wrobel and Malek,2005,Astragalus cicer,introduced,Canada
274,Wdowiak-Wrobel and Malek,2005,Astragalus cicer,native,Poland
36,Barrett and Parker,2006,Mimosa pigra,native,Costa_Rica
36,Barrett and Parker,2006,Mimosa pudica,native,Costa_Rica
41,Beyhaut et al,2006,Desmanthus illinoensis,native,United_States
183,Moreira et al,2006,Sesbania virgata,native,Brazil
195,Parker and Kennedy,2006,Amphicarpaea bracteata,native,United_States
195,Parker and Kennedy,2006,Baptisia tinctoria,native,United_States
195,Parker and Kennedy,2006,Chamaecrista fasciculata,native,United_States
195,Parker and Kennedy,2006,Desmodium canadense,native,United_States
195,Parker and Kennedy,2006,Desmodium glutinosum,native,United_States
195,Parker and Kennedy,2006,Desmodium paniculatum,native,United_States
195,Parker and Kennedy,2006,Desmodium rotundifolium,native,United_States
195,Parker and Kennedy,2006,Lespedeza capitata,native,United_States
195,Parker and Kennedy,2006,Lespedeza hirta,native,United_States
195,Parker and Kennedy,2006,Lupinus perennis,native,United_States
197,Parker et al,2006,Cytisus scoparius,introduced,United_States
222,Romdhane et al,2006,Acacia tortilis,native,Tunisia
264,Villegas et al,2006,Medicago laciniata,native,Tunisia
264,Villegas et al,2006,Medicago laciniata,introduced,France
270,Wang et al,2006,Albizia julibrissin,native,China
270,Wang et al,2006,Albizia kalkora,native,China
272,Wang et al,2006,Conzattia multiflora,native,Mexico
270,Wang et al,2006,Leucaena leucocephala,introduced,China
301,Zakhia et al,2006,Argyrolobium uniflorum,native,Tunisia
301,Zakhia et al,2006,Astragalus algerianus,native,Tunisia
301,Zakhia et al,2006,Lotus argenteus,native,Tunisia
301,Zakhia et al,2006,Ononis natrix,native,Tunisia
301,Zakhia et al,2006,Retama raetam,native,Tunisia
16,Andam and Parker,2007,Lupinus texensis,native,United_States
18,Andam et al,2007,Mimosa asperata,native,United_States
29,Badri et al,2007,Medicago laciniata,native,Tunisia
29,Badri et al,2007,Medicago truncatula,native,Tunisia
31,Baimiev et al,2007,Astragalus cicer,native,Russia
30,Baimiev et al,2007,Onobrychis arenaria,native,Hungary
88,Donate-Correa et al,2007,Anagyris latifolia,native,Canary_Islands
108,Gu et al,2007,Desmodium elegans,native,China
108,Gu et al,2007,Desmodium heterocarpon,native,China
108,Gu et al,2007,Desmodium microphyllum,native,China
108,Gu et al,2007,Desmodium sequax,native,China
108,Gu et al,2007,Hylodesmum podocarpum,native,China
122,Iglesias et al,2007,Prosopis alba,introduced,Spain
128,Kan et al,2007,Medicago lupulina,native,China
128,Kan et al,2007,Oxytropis glabra,native,China
128,Kan et al,2007,Oxytropis ochrocephala,native,China
128,Kan et al,2007,Vicia sativa,native,China
128,Kan et al,2007,Vicia sepium,native,China
128,Kan et al,2007,Vicia villosa,native,China
139,Lafay and Burdon,2007,Chamaecrista mimosoides,native,Australia
139,Lafay and Burdon,2007,Indigofera colutea,native,Australia
139,Lafay and Burdon,2007,Indigofera hirsuta,native,Australia
139,Lafay and Burdon,2007,Indigofera linifolia,native,Australia
139,Lafay and Burdon,2007,Neptunia gracilis,native,Australia
157,Lin et al,2007,Kummerowia stipulacea,native,China
157,Lin et al,2007,Kummerowia striata,native,China
159,Liu et al,2007,Crotalaria pallida,native,China
159,Liu et al,2007,Mimosa pudica,introduced,China
159,Liu et al,2007,Trifolium repens,introduced,China
163,Lloret et al,2007,Acacia angustissima,native,Mexico
174,Martir et al,2007,Dalea purpurea,native,United_States
259,Parker et al,2007,Mimosa pigra,introduced,Australia
218,Rodriquez-Echeverria et al,2007,Acacia longifolia,introduced,Portugal
238,Stepkowski et al,2007,Lupinus campestris,native,Mexico
262,van Berkum et al,2007,Medicago laciniata,native,Tunisia
262,van Berkum et al,2007,Medicago truncatula,native,Tunisia
269,Wang et al,2007,Albizia kalkora,native,China
297,Yan et al,2007,Caragana arborescens,native,China
297,Yan et al,2007,Caragana korshinskii,native,China
297,Yan et al,2007,Caragana microphylla,native,China
297,Yan et al,2007,Caragana sinica,native,China
293,Zribi et al,2007,Medicago intertexta,native,Tunisia
17,Andam and Parker,2008,Pterocarpus indicus,native,Philippines
17,Andam and Parker,2008,Wallaceodendron celebicum,native,Philippines
39,Benata et al,2008,Prosopis juliflora,introduced,Morocco
43,Blanco et al,2008,Sesbania punicea,native,Uruguay
43,Blanco et al,2008,Sesbania virgata,native,Uruguay
83,del Villar et al,2008,Medicago lupulina,native,Spain
83,del Villar et al,2008,Medicago monspeliaca,native,Spain
83,del Villar et al,2008,Medicago sphaerocarpa,native,Spain
83,del Villar et al,2008,Melilotus indicus,native,Spain
83,del Villar et al,2008,Melilotus officinalis,native,Spain
94,Fall et al,2008,Acacia senegal,native,Senegal
109,Guan et al,2008,Caragana korshinskii,native,China
113,Han et al,2008,Astragalus aksuensis,native,China
114,Han et al,2008,Astragalus aksuensis,native,China
113,Han et al,2008,Astragalus filicaulis,native,China
115,Han et al,2008,Astragalus filicaulis,native,China
113,Han et al,2008,Caragana jubata,native,China
114,Han et al,2008,Caragana jubata,native,China
113,Han et al,2008,Lathyrus gmelinii,native,China
113,Han et al,2008,Lathyrus humilis,native,China
113,Han et al,2008,Lathyrus odoratus,introduced,China
113,Han et al,2008,Lotus frondosus,native,China
115,Han et al,2008,Lotus frondosus,native,China
113,Han et al,2008,Lotus tenuis,native,China
114,Han et al,2008,Lotus tenuis,native,China
113,Han et al,2008,Oxytropis glabra,native,China
115,Han et al,2008,Oxytropis glabra,native,China
113,Han et al,2008,Robinia pseudoacacia,introduced,China
115,Han et al,2008,Robinia pseudoacacia,introduced,China
113,Han et al,2008,Sophora alopecuroides,native,China
113,Han et al,2008,Vicia cracca,native,China
